"","seccion","titular","enlace_noticia"
"1","España","España reinstaura uso de mascarillas al aire libre para contener propagación de variante Ómicron","https://www.latercera.com/mundo/noticia/espana-reinstaura-uso-de-mascarillas-al-aire-libre-para-contener-propagacion-de-variante-omicron/N4ODCHRHZZH7FMWID64T5ZSTO4/"
"2","Monedas","El dólar registra su mayor caída en un mes y extiende la corrección tras alcanzar niveles históricos por el triunfo de Boric","https://www.latercera.com/pulso/noticia/el-dolar-intenta-estabilizarse-tras-el-maximo-historico-del-lunes-y-opera-con-minimas-variaciones/GJTNESQKYVBOTG52YGOAETKPLQ/"
"3","Coronavirus","La FDA de Estados Unidos aprueba el uso de emergencia de la pastilla de Pfizer contra el Covid-19","https://www.latercera.com/que-pasa/noticia/la-fda-de-estados-unidos-aprueba-el-uso-de-emergencia-de-la-pastilla-de-pfizer-contra-el-covid-19/YI2JB7XVGZD5JE3LLBJKWPFJGM/"
"4","Ciencia","Solitarios y sin sol: usando telescopios en Chile descubren el grupo más grande de planetas errantes detectados hasta ahora","https://www.latercera.com/que-pasa/noticia/solitarios-y-sin-sol-usando-telescopios-en-chile-descubren-el-grupo-mas-grande-de-planetas-errantes-detectados-hasta-ahora/UFHT2DZ5JNACVDOUYZ6ETQ6264/"
"5","Ciencia","Leones, tigres, pumas y orangutanes: Chile es el primer país en Latinoamérica en vacunar animales contra el Covid, inyección que el próximo año podría estar a la venta para mascotas","https://www.latercera.com/que-pasa/noticia/leones-tigres-pumas-y-orangutanes-chile-es-el-primer-pais-en-latinoamerica-en-vacunar-animales-contra-el-covid-inyeccion-que-el-proximo-ano-podria-estar-a-la-venta-para-mascotas/IBL2RHAPHZCFVHJMY555KIYMQM/"
"6","Batgirl","Michael Keaton será parte de la película de Batgirl","https://www.latercera.com/mouse/michael-keaton-sera-parte-de-la-pelicula-de-batgirl/"
"7","Coronavirus","¿Estaba vacunado el primer estadounidense que murió por Ómicron?","https://www.latercera.com/que-pasa/noticia/estaba-vacunado-el-primer-estadounidense-que-murio-por-omicron/2IIZHCTOQRFQTJ53IB7ICKYQZY/"
"8","Gobierno","Subsecretario Galli por confesión de Francisco Solar: “La colocación de artefactos explosivos es el delito más grave que se puede cometer en nuestro país”","https://www.latercera.com/nacional/noticia/subsecretario-galli-por-confesion-de-francisco-solar-la-colocacion-de-artefactos-explosivos-es-el-delito-mas-grave-que-se-puede-cometer-en-nuestro-pais/FUTRWNGMWVD7ZNUIONDJRHCQQI/"
"9","Opinión","Descubriendo planetas alrededor de estrellas binarias muy energéticas","https://www.latercera.com/que-pasa/noticia/descubriendo-planetas-alrededor-de-estrellas-binarias-muy-energeticas/HSUPFELWTBATTOZTA2IDUNMPMA/"
"10","Review","Review | Matrix Resurrecciones, la mejor reimakuela de la historia","https://www.latercera.com/mouse/review-matrix-resurrecciones-la-mejor-reimakuela-de-la-historia/"
"11","Medioambiente","Sequía en lago Caburgua: Alcalde de Pucón solicita a la DGA eliminar y demoler dique que impide el paso del agua","https://www.latercera.com/que-pasa/noticia/sequia-en-lago-caburgua-alcalde-de-pucon-solicita-a-la-dga-eliminar-y-demoler-dique-que-impide-el-paso-del-agua/M76AD5TSSRASVNTR5YGD5KD57Q/"
"12","#MTTendencias","Kamaz, el gigante ruso de los camiones, busca contratar presos para superar déficit de trabajadores","https://www.latercera.com/mtonline/noticia/kamaz-el-gigante-ruso-de-los-camiones-busca-contratar-presos-para-superar-el-deficit-de-trabajadores/4X3XEHUREVCH7HKGN6HKKKLTJ4/"
"13","Tenis","El Chile Open confirma a otra figura mundial: anuncia a Thiem","https://www.latercera.com/el-deportivo/noticia/el-chile-open-confirma-a-otra-figura-mundial-anuncia-a-thiem/GSGJRRDT65EU3DYXX7MEZT2BBU/"
"14","Fútbol","El Bologna de Gary Medel se reencuentra con la victoria en su visita contra Sassuolo","https://www.latercera.com/el-deportivo/noticia/el-bologna-de-gary-medel-se-reencuentra-con-la-victoria-en-su-visita-contra-sassuolo/Z7SCGB5ZF5DETDFYNP7L3ZJXGA/"
"15","Spotify","Minecraft, Doom y The Last of Us lideran el listado de los soundtracks de videojuegos más escuchados en Spotify en Chile durante este 2021","https://www.latercera.com/mouse/minecraft-doom-y-the-last-of-us-lideran-el-listado-de-los-soundtracks-de-videojuegos-mas-escuchados-en-spotify-en-chile-durante-este-2021/"
