"","seccion","titular","enlace_noticia"
"1","Policial","PDI desarticula punto de acopio de banda criminal en La Pintana: se incautaron más de $47 millones en drogas","https://www.latercera.com/nacional/noticia/pdi-desarticula-punto-de-acopio-de-banda-criminal-en-la-pintana-se-incautaron-mas-de-47-millones-en-drogas/BFI7E2CGXRA2PEML4R7UENNVEM/"
"2","Sismo","Temblor hoy, sábado 1 de febrero en Chile: consulta epicentro y magnitud","https://www.latercera.com/servicios/noticia/temblor-hoy-sabado-1-de-febrero-en-chile-consulta-epicentro-y-magnitud/PYBNJXQDNVAXBOBMHZVXYZ4LWM/"
"3","Hub","Chile avanza en electromovilidad: ¿Podremos convertirnos en la Noruega de Sudamérica?","https://www.latercera.com/pulso/noticia/chile-avanza-en-electromovilidad-podremos-convertirnos-en-la-noruega-de-sudamerica/ZDKDW7K7S5CIZKCK4OMWNXNQQI/"
"4","LTSabado","Columna de Ernesto Ottone: El discursoExclusivo suscriptor","https://www.latercera.com/opinion/noticia/columna-de-ernesto-ottone-el-discurso/7ONEJLVSHVHDXMZJNNMPC7N3BY/"
"5","Megaincendio","Los rostros de la reconstrucción en El Olivar, a un año del megaincendio","https://www.latercera.com/nacional/noticia/los-rostros-de-la-reconstruccion-en-el-olivar-a-un-ano-del-megaincendio/ZPMELOI5EVD2NJT2V4E4Q6AD5U/"
"6","Comisión para la Paz","Víctor Ramos: “No hay manera de  llegar a un acuerdo parcial y que no contemple tierras”","https://www.latercera.com/nacional/noticia/victor-ramos-no-hay-manera-de-llegar-a-un-acuerdo-parcial-y-que-no-contemple-tierras/O32TTVEKTRBVDIJ25BTZUDGLOQ/"
"7","Bookstagramers","Bookfluencers: la tendencia al alza en medio de pobres resultados en comprensión lectora","https://www.latercera.com/nacional/noticia/bookfluencers-la-tendencia-al-alza-en-medio-de-pobres-resultados-en-comprension-lectora/ODP4KTD3A5DTJKLFC7LQPTOZEA/"
"8","Fares Jadue","Fares Jadue (PC): “Yo no descartaría a Daniel Jadue como carta presidencial”","https://www.latercera.com/politica/noticia/fares-jadue-pc-yo-no-descartaria-a-daniel-jadue-como-carta-presidencial/CKFMTMPXXVC6VPYAO4SGQNSMDE/"
"9","Películas","Llega el soberbio thriller papal Cónclave: que se haga la voluntad de Dios (y de los hombres)","https://www.latercera.com/culto/2025/02/01/llega-el-soberbio-thriller-papal-conclave-que-se-haga-la-voluntad-de-dios-y-de-los-hombres/"
"10","Ballenas","Columna de Susannah Buchan: Ballenas en peligro en la costa chilena","https://www.latercera.com/la-tercera-sabado/noticia/columna-de-susannah-buchan-ballenas-en-peligro-en-la-costa-chilena/7RE5W5M56RA77PC4GU22ECJSR4/"
"11","Santiago Adicto","Columna de Rodrigo Guendelman: Santiago en febrero","https://www.latercera.com/la-tercera-sabado/noticia/columna-de-rodrigo-guendelman-santiago-en-febrero/TU72JYY5ORFH7OWF4RMWSMGVHU/"
"12","LT Sábado","Jacqueline van Rysselberghe (UDI): “Tal como el gobierno terminó aprobando la Constitución de Pinochet, acá se terminó fortaleciendo la capitalización individual”","https://www.latercera.com/politica/noticia/jacqueline-van-rysselberghe-udi-tal-como-el-gobierno-termino-aprobando-la-constitucion-de-pinochet-aca-se-termino-fortaleciendo-la-capitalizacion-individual/WTLCYT672BGFFGP5TC24A4YKQA/"
"13","Emilia Pérez","Columna de Rodrigo González: Emilia Pérez: Jacques Odiar","https://www.latercera.com/culto/2025/02/01/columna-de-rodrigo-gonzalez-emilia-perez-jacques-odiar/"
"14","LT Sábado","“Es un orgullo enorme”: Nicolás Massú hace historia como capitán de Copa Davis","https://www.latercera.com/el-deportivo/noticia/es-un-orgullo-enorme-nicolas-massu-hace-historia-como-capitan-de-copa-davis/SOJ4BKDEARAWJP5RPFYEVUB6E4/"
"15","Música","Crítica de discos: los estimulantes mundos de Ela Minus, Mogwai y Sault","https://www.latercera.com/culto/2025/02/01/critica-de-discos-los-estimulantes-mundos-de-ela-minus-mogwai-y-sault/"
