"","seccion","titular","enlace_noticia"
"1","Crianza","¿Cómo se sienten las niñas y niños en su relación con sus cuidadores?","https://www.latercera.com/paula/como-se-sienten-las-ninas-y-ninos-en-su-relacion-con-sus-cuidadores/"
"2","Monedas","El dólar extiende su caída en medio de menores temores por un conflicto arancelario mayor","https://www.latercera.com/pulso/noticia/el-valor-del-dolar-en-chile-el-20-de-febrero-del-2025/FBR4DS32E5CDFB3PKDNFG3KBKE/"
"3","Bonos","Cuándo es el próximo pago del Bono Marzo o Aporte Familiar Permanente 2025","https://www.latercera.com/servicios/noticia/cuando-es-el-proximo-pago-del-bono-marzo-o-aporte-familiar-permanente-2025/PK4YCVBB4BE2HFQROJIFTDAPPE/"
"4","Venezuela","“Si ellos hurgan van a encontrar a los asesinos facilito”: Diosdado Cabello se refiere a las acusaciones por caso de Ronald Ojeda","https://www.latercera.com/mundo/noticia/si-ellos-hurgan-van-a-encontrar-a-los-asesinos-facilito-diosdado-cabello-se-refiere-a-las-acusaciones-por-caso-de-ronald-ojeda/UJQIYUEFWJHLBMJETAHK3ZYLYQ/"
"5","Guerra en Ucrania","Trump dispara contra Zelenski: “Ha hecho un trabajo terrible”","https://www.latercera.com/la-tercera-tv/noticia/trump-dispara-contra-zelenski-ha-hecho-un-trabajo-terrible/6IPMFMJ7UNA5ZMMXJ6CI5O3WTE/"
"6","Pistolas Taser","Harboe considera innecesario el plan piloto de las pistolas taser: “Esto debía estar instalado hace mucho rato”","https://www.latercera.com/nacional/noticia/harboe-considera-innecesario-el-plan-piloto-de-las-pistolas-taser-esto-debia-estar-instalado-hace-mucho-rato/33FIZ4DSURDBXAQIMNGQIVMZXA/"
"7","Fútbol","La prensa inglesa arremete contra Guardiola y el Manchester City tras el papelón con el Real Madrid","https://www.latercera.com/el-deportivo/noticia/pep-esta-fuera-la-prensa-inglesa-se-ensana-contra-guardiola-y-el-city-tras-el-papelon-con-el-madrid/MCR7WDLMTJBD7BQDLFJKNRSIVY/"
"8","Corfo","“Estamos llanos a estos procedimientos”: Cardoch por investigación especial de Contraloría a traspasos de Corfo a Hacienda","https://www.latercera.com/politica/noticia/estamos-llanos-a-estos-procedimientos-cardoch-por-investigacion-especial-de-contraloria-a-traspasos-de-corfo-a-hacienda/HNBP6WBQ45DDZHM4KCJ3TQ6V3E/"
"9","Fútbol","“Primero fueron las drogas...”: el Bernabéu se ensaña contra Pep Guardiola en la goleada del Real Madrid frente al City","https://www.latercera.com/el-deportivo/noticia/primero-fueron-las-drogas-el-bernabeu-se-ensana-contra-pep-guardiola-en-la-goleada-del-real-madrid-frente-al-city/I5USKBXJJVA4RNSBAEK3S3NSVY/"
"10","Democracia Viva","“Existen antecedentes objetivos y precisos”: Corte de Antofagasta entrega sentencia por desafuero de Catalina Pérez","https://www.latercera.com/nacional/noticia/existen-antecedentes-objetivos-y-precisos-corte-de-antofagasta-entrega-sentencia-por-desafuero-de-catalina-perez/CKPYLQWPHNGTREF47ONCXVUEUE/"
"11","Qué Pasa","Privadas, de acceso restringido y con cobro: este el mapa de las playas de la discordia en Chile","https://www.latercera.com/que-pasa/noticia/playas-privadas-acceso-restringido-con-cobro-y-privatizadas-este-el-mapa-en-chile/6F6TFJULONDBPLEMWXB3MUQLOI/"
"12","Madeleine McCann","Detienen a Julia Wandelt, la joven que dice ser Madeleine McCann","https://www.latercera.com/tendencias/noticia/detienen-a-julia-wandelt-la-joven-que-dice-ser-madeleine-mccann/3FLWCNRSMNANBFHMNEQXRPQGKA/"
"13","Libros","Gabriela Mistral y sus fieles gatos siameses: “La gente tendría que tener por obligación gatos”","https://www.latercera.com/culto/2025/02/20/gabriela-mistral-y-sus-fieles-gatos-siameses-la-gente-tendria-que-tener-por-obligacion-gatos/"
"14","Economía","Corfo sale al paso de la polémica por los traspasos al gobierno y asegura que no hay pérdida de patrimonio","https://www.latercera.com/pulso/noticia/necesario-y-legal-corfo-sale-al-paso-de-la-polemica-por-los-traspasos-al-gobierno/MPXMUHY2VFCFPK5IFAIYMHGWOU/"
