"","seccion","titular","enlace_noticia"
"1","Carabineros","Más de mil jóvenes ingresaron a la Escuela de Formación de Carabineros","https://www.latercera.com/nacional/noticia/mas-de-mil-jovenes-ingresaron-a-la-escuela-de-formacion-de-carabineros/WUQOW7OK6NAY3NGCF2FSJ5QKZE/"
"2","El Salvador","EE.UU. afirma que Bukele ofreció recibir a deportados “de cualquier nacionalidad”","https://www.latercera.com/mundo/noticia/eeuu-afirma-que-bukele-ofrecio-recibir-a-deportados-de-cualquier-nacionalidad/CWWX46ESJNCCVHYNEMI5C3HLC4/"
"3","Presidente Boric","“Generar alianzas de largo aliento”: Boric cierra visita en Uruguay con recibimiento en casa del presidente electo Yamandú Orsi","https://www.latercera.com/politica/noticia/generar-alianzas-de-largo-aliento-boric-cierra-visita-en-uruguay-con-recibimiento-en-casa-del-presidente-electo-yamandu-orsi/GC6IKA33WVEJHO35R7E52OCI7E/"
"4","Megaincendio","Ripamonti solicita a delegado presidencial de Valparaíso generar canales de diálogo tras inicio de huelga de hambre de afectados por megaincendio","https://www.latercera.com/nacional/noticia/ripamonti-solicita-a-delegado-presidencial-de-valparaiso-generar-canales-de-dialogo-tras-inicio-de-huelga-de-hambre-de-afectados-por-megaincendio/VRZEQNZIUBHEJOGTSWMKLMIYBU/"
"5","Fútbol","Ricardo Gareca sorprende y convoca a otro jugador de la U a la Roja","https://www.latercera.com/el-deportivo/noticia/ricardo-gareca-sorprende-y-convoca-a-otro-jugador-de-la-u-a-la-roja/EAKUVV2NKVCYPACGA5O3I65NDA/"
"6","Crecimiento","La respuesta de Matthei al emplazamiento del Presidente Boric tras cifras del Imacec","https://www.latercera.com/politica/noticia/la-respuesta-de-matthei-al-emplazamiento-del-presidente-boric-tras-cifras-del-imacec/NMQDWZ6RY5FIXEQDKX5VYWFGRE/"
"7","Fútbol","Bruno Barticciotto es oficializado como refuerzo del Santos Laguna de México","https://www.latercera.com/el-deportivo/noticia/bruno-barticciotto-es-oficializado-como-refuerzo-del-santos-laguna-de-mexico/YEQPMG7MORCMJNLODSHQQBTG4I/"
"8","Fútbol","Las visiones contrapuestas de Jorge Almirón y Esteban Pavez luego de la derrota de Colo Colo ante Santiago Wanderers","https://www.latercera.com/el-deportivo/noticia/las-visiones-contrapuestas-de-jorge-almiron-y-esteban-pavez-luego-de-la-derrota-de-colo-colo-ante-santiago-wanderers/EVOOLNY5BRCJXHEBGQJ7636K64/"
"9","reforma de pensiones","Transferencias de suma ceroExclusivo suscriptor","https://www.latercera.com/opinion/noticia/transferencias-de-suma-cero/PSZY5SN7Q5GCBIDY4LIZSSYOFA/"
"10","Policial","Niña de 5 años muere en violenta colisión vehicular en Carretera Austral","https://www.latercera.com/nacional/noticia/nina-de-5-anos-muere-en-violenta-colision-vehicular-en-carretera-austral/X2LD3QUDQNBRLJNHOJHW6KSD6Q/"
"11","Elecciones","Oficialismo fija criterios para la carrera presidencial y factor Bachelet  los mantiene en alertaExclusivo suscriptor","https://www.latercera.com/politica/noticia/oficialismo-fija-criterios-para-la-carrera-presidencial-y-factor-bachelet-los-mantiene-en-alerta/5SVEEYGUEBC2FN3YGCXUGMMBVE/"
"12","reforma de pensiones","Empleabilidad, longevidad y jubilaciónExclusivo suscriptor","https://www.latercera.com/opinion/noticia/empleabilidad-longevidad-y-jubilacion/W2USMNBXN5HLDCW4X5FPOZX44E/"
"13","política","Dialogar es de valientesExclusivo suscriptor","https://www.latercera.com/opinion/noticia/dialogar-es-de-valientes/WYLBGLYPBVABLOM47TOM4Z4XT4/"
"14","Festival de Viña del Mar","Canción chilena del Festival de ViñaExclusivo suscriptor","https://www.latercera.com/opinion/noticia/cancion-chilena-del-festival-de-vina/2VCARIPXRZHEDMKVVHYKKSOYJU/"
"15","Ecuador","Elecciones presidenciales en EcuadorExclusivo suscriptor","https://www.latercera.com/opinion/noticia/elecciones-presidenciales-en-ecuador/3HA3RX27TBDVRAAWBKPRIWJPJU/"
