"","seccion","titular","enlace_noticia"
"1","Emilia Perez","El director de Emilia Pérez habla sobre Karla Sofía Gascón: “Se está haciendo la víctima, lo que dijo es imperdonable”","https://www.latercera.com/culto/2025/02/05/el-director-de-emilia-perez-habla-sobre-karla-sofia-gascon-se-esta-haciendo-la-victima-lo-que-dijo-es-imperdonable/"
"2","Valparaíso","Ordenan evacuación de sectores de Cerro Cordillera en Valparaíso por incendio: hay al menos cuatro casas afectadas","https://www.latercera.com/nacional/noticia/bomberos-combate-incendio-en-cerro-cordillera-de-valparaiso-reportan-cuatro-casas-afectadas/I62N2CWPWRBWFJRN3EX5AMVO4M/"
"3","Fútbol","La sentida despedida de César Pinares de la UC","https://www.latercera.com/el-deportivo/noticia/la-sentida-despedida-de-cesar-pinares-de-la-uc/DZZOUPOOBNE6XACAEFOS4J4FSM/"
"4","Sebastián Piñera","Dónde se realizan misas en memoria del expresidente Sebastián Piñera","https://www.latercera.com/servicios/noticia/donde-se-realizan-misas-en-memoria-del-expresidente-sebastian-pinera/N56QEQ3JLFHGFJOKZAOSKQSAMA/"
"5","Megaincendio","“Refleja cobardía y falta de empatía”: Kast en picada contra Boric por su silencio a un año del megaincendio","https://www.latercera.com/politica/noticia/refleja-cobardia-y-falta-de-empatia-kast-en-picada-contra-boric-por-su-silencio-a-un-ano-del-megaincendio/63LA5TZHRBC7TPRQFLK7NNC7HY/"
"6","Altas Temperaturas","Senapred declara alerta roja en cuatro regiones del país por “calor extremo”: se espera temperaturas de hasta 40°C","https://www.latercera.com/nacional/noticia/senapred-declara-alerta-roja-en-cuatro-regiones-del-pais-por-calor-extremo-se-espera-temperaturas-de-hasta-40c/NDAR44PCXJA6RM53XZKVNQPHPE/"
"7","Minería","SMA sanciona a Minera Imperial por proyecto de extracción de áridos en Maipú","https://www.latercera.com/pulso/noticia/sma-sanciona-a-minera-imperial-por-proyecto-de-extraccion-de-aridos-en-maipu/ZZOPEZANZBAZZH3KTERS3OPKCE/"
"8","Festival de Viña","Quiénes son los animadores del Festival de Viña 2025","https://www.latercera.com/servicios/noticia/quienes-son-los-animadores-del-festival-de-vina-2025/KI3XBEPA4ZDM5B4UVQKOQZAD3I/"
"9","Fútbol","Valencia vs. Barcelona: a qué hora y dónde ver el partido por la Copa del Rey","https://www.latercera.com/el-deportivo/noticia/valencia-vs-barcelona-a-que-hora-y-donde-ver-el-partido-por-la-copa-del-rey/XU5QZ3G45FA7DIWZB4VIVSKJN4/"
"10","Chile","Pareja venezolana denuncia ataque xenófobo por parte de uber chileno","https://www.latercera.com/la-tercera-tv/noticia/pareja-venezolana-denuncia-ataque-xenofobo-por-parte-de-uber-chileno/6BILMBNZI5FONCSQ4QJ4OZ4KV4/"
"11","Futangue Challenge","Comienza la octava la edición del Futangue Challenge","https://www.latercera.com/el-deportivo/noticia/comienza-la-octava-la-edicion-del-futangue-challenge/POUKJ7JMPRE65CJRIQHYPC2R6I/"
"12","Mercados","Wall Street revierte su caída mientras los inversionistas se enfocan en los resultados de las empresas y la Fed","https://www.latercera.com/pulso/noticia/wall-sreet-cae-luego-de-que-previsiones-de-alphabet-y-amd-avivan-preocupaciones-sobre-rentabilidad-de-ia/FGEM3YWIK5G2FIR722PFDLQ35Y/"
"13","Fútbol","Colo Colo lanza su camiseta alternativa para la temporada 2025","https://www.latercera.com/el-deportivo/noticia/colo-colo-lanza-su-camiseta-alternativa-para-la-temporada-2025/YL6OML5R2JA3NMPN2JKPUJTLSY/"
"14","Música","Del infierno al cielo: cómo Ozzy Osbourne alcanzó su cima solista tras ser expulsado de Black Sabbath","https://www.latercera.com/culto/2025/02/05/del-infierno-al-cielo-como-ozzy-osbourne-alcanzo-su-cima-solista-tras-ser-expulsado-de-black-sabbath/"
"15","Convenios","Detienen a Susan Alarcón: exfuncionaria del GORE La Araucanía tenía orden de captura internacional por el caso Convenios","https://www.latercera.com/nacional/noticia/detienen-a-susan-alarcon-exfuncionaria-del-gore-la-araucania-tenia-orden-de-captura-internacional-por-el-caso-convenios/A5OYZIJJPJFELFPFF3QU6SLEAE/"
