"","seccion","titular","enlace_noticia"
"1","Fútbol","Dónde ver en vivo a Manchester City vs. Liverpool por TV y online","https://www.latercera.com/el-deportivo/noticia/donde-ver-en-vivo-a-manchester-city-vs-liverpool-por-tv-y-online/5EAKRVH4OZFIZNJAOR54ZIQJGY/"
"2","Fútbol","Dónde y a qué hora ver a U. de Chile vs. Unión La Calera","https://www.latercera.com/servicios/noticia/donde-y-a-que-hora-ver-a-u-de-chile-vs-union-la-calera/JXC2EVBHPZFVDCAHOCJZ7ZVE64/"
"3","Luka Doncic","Luka Doncic firma su primer partidazo en los Lakers","https://www.latercera.com/el-deportivo/noticia/luka-doncic-firma-su-primer-partidazo-en-los-lakers/SVQWK6DW75C3DGBLMNCNNMJQF4/"
"4","Festival de Viña 2025","Columna de Marcelo Contreras: Te gusta Marc Anthony","https://www.latercera.com/culto/2025/02/23/columna-de-marcelo-contreras-te-gusta-marc-anthony/"
"5","ASAP Rocky","A$AP Rocky es nombrado el primer director creativo de Ray-Ban","https://www.latercera.com/tendencias/noticia/aap-rocky-es-nombrado-el-primer-director-creativo-de-ray-ban/H5LW675WHRHN3GK25VOUJXJ3CE/"
"6","Policial","Operativo policial en el Gran Concepción lleva a la detención de 40 personas por diversos procesos pendientes con la justicia","https://www.latercera.com/nacional/noticia/operativo-policial-en-el-gran-concepcion-lleva-a-la-detencion-de-40-personas-por-diversos-procesos-pendientes-con-la-justicia/PGXXLNUHWBAIDLMR54QXWRWQKE/"
"7","Fútbol","Gareca toma nota: Argentina se rinde a la magia de Luciano Cabral","https://www.latercera.com/el-deportivo/noticia/la-prensa-argentina-enloquece-con-luciano-cabral-tras-el-nuevo-triunfo-de-independiente/MMOLL2KQ2RAOVFOSAUAS2CCB6U/"
"8","Ancud","Aplicación de FIBE y ficha económica: Gobierno detalla ayudas a damnificados por incendio en casco histórico de Ancud","https://www.latercera.com/nacional/noticia/aplicacion-de-fibe-y-ficha-economica-gobierno-detalla-ayudas-a-damnificados-por-incendio-en-casco-historico-de-ancud/D6H5RPBJ5NBFTK3HA6JPCI2B2A/"
"9","Guerra en Medio Oriente","Israel anuncia que ocupará los principales campos de refugiados del norte de Cisjordania","https://www.latercera.com/mundo/noticia/israel-anuncia-que-ocupara-los-principales-campos-de-refugiados-del-norte-de-cisjordania/SCOGGTCUTRG6XMNZHHPW7ZT33U/"
"10","Papa Francisco","“Pido que recen por mí”: la enfermedad del papa Francisco que lo llevó de un “fuerte resfriado” a un estado crítico","https://www.latercera.com/mundo/noticia/pido-que-recen-por-mi-la-enfermedad-del-papa-francisco-que-lo-llevo-de-un-fuerte-resfriado-a-un-estado-critico/ZW5THNPYYVF6VLULSZUUISM7HI/"
"11","Guerra en Medio Oriente","Los hospitales de Gaza reciben diez nuevos muertos en las últimas 24 horas","https://www.latercera.com/mundo/noticia/los-hospitales-de-gaza-reciben-diez-nuevos-muertos-en-las-ultimas-24-horas/7W4ZQXROEJHYTHPWC5MG44G2TY/"
"12","Megatoma","Gobierno avanza en la conformación de cooperativas en la megatoma de San Antonio: se han asociado casi 2000 familias","https://www.latercera.com/nacional/noticia/gobierno-avanza-en-la-conformacion-de-cooperativas-en-la-megatoma-de-san-antonio-se-han-asociado-casi-2000-familias/AY4DHCMVGFHV5PSDVSPJQAHJII/"
"13","Papa Francisco","“Un aniversario doloroso y vergonzoso”: el mensaje del Papa Francisco a tres años del inicio de la guerra en Ucrania","https://www.latercera.com/mundo/noticia/un-aniversario-doloroso-y-vergonzoso-el-mensaje-del-papa-francisco-a-tres-anos-del-inicio-de-la-guerra-en-ucrania/PXUJDYQMTFBUHD74MYJBJBGFQE/"
"14","Carabineros","Debido a una fuga de gas: lo que se sabe de la explosión en subcomisaría de Independencia","https://www.latercera.com/nacional/noticia/debido-a-una-fuga-de-gas-lo-que-se-sabe-de-la-explosion-en-subcomisaria-de-independencia/2ACEVK5F5FFVBK5R6DSHJM4DPE/"
"15","Policial","Accidente de tránsito que involucró a tres vehículos en Peñaflor deja un fallecido y una persona en riesgo vital","https://www.latercera.com/nacional/noticia/accidente-de-transito-que-involucro-a-tres-vehiculos-en-penaflor-deja-un-fallecido-y-una-persona-en-riesgo-vital/DPWRBHYTKRAGRCGD2E5ZDG7LOQ/"
