"","seccion","titular","enlace_noticia"
"1","LTSabado","Columna de Ernesto Ottone: El discursoExclusivo suscriptor","https://www.latercera.com/opinion/noticia/columna-de-ernesto-ottone-el-discurso/7ONEJLVSHVHDXMZJNNMPC7N3BY/"
"2","Megaincendio","Los rostros de la reconstrucción en El Olivar, a un año del megaincendio","https://www.latercera.com/nacional/noticia/los-rostros-de-la-reconstruccion-en-el-olivar-a-un-ano-del-megaincendio/ZPMELOI5EVD2NJT2V4E4Q6AD5U/"
"3","Comisión para la Paz","Víctor Ramos: “No hay manera de  llegar a un acuerdo parcial y que no contemple tierras”","https://www.latercera.com/nacional/noticia/victor-ramos-no-hay-manera-de-llegar-a-un-acuerdo-parcial-y-que-no-contemple-tierras/O32TTVEKTRBVDIJ25BTZUDGLOQ/"
"4","Bookstagramers","Bookfluencers: la tendencia al alza en medio de pobres resultados en comprensión lectora","https://www.latercera.com/nacional/noticia/bookfluencers-la-tendencia-al-alza-en-medio-de-pobres-resultados-en-comprension-lectora/ODP4KTD3A5DTJKLFC7LQPTOZEA/"
"5","Ballenas","Columna de Susannah Buchan: Ballenas en peligro en la costa chilena","https://www.latercera.com/la-tercera-sabado/noticia/columna-de-susannah-buchan-ballenas-en-peligro-en-la-costa-chilena/7RE5W5M56RA77PC4GU22ECJSR4/"
"6","Santiago Adicto","Columna de Rodrigo Guendelman: Santiago en febrero","https://www.latercera.com/la-tercera-sabado/noticia/columna-de-rodrigo-guendelman-santiago-en-febrero/TU72JYY5ORFH7OWF4RMWSMGVHU/"
"7","LT Sábado","Jacqueline van Rysselberghe (UDI): “Tal como el gobierno terminó aprobando la Constitución de Pinochet, acá se terminó fortaleciendo la capitalización individual”","https://www.latercera.com/politica/noticia/jacqueline-van-rysselberghe-udi-tal-como-el-gobierno-termino-aprobando-la-constitucion-de-pinochet-aca-se-termino-fortaleciendo-la-capitalizacion-individual/WTLCYT672BGFFGP5TC24A4YKQA/"
"8","Fares Jadue","Fares Jadue (PC): “Yo no descartaría a Daniel Jadue como carta presidencial”","https://www.latercera.com/politica/noticia/fares-jadue-pc-yo-no-descartaria-a-daniel-jadue-como-carta-presidencial/CKFMTMPXXVC6VPYAO4SGQNSMDE/"
"9","Películas","Llega el soberbio thriller papal Cónclave: que se haga la voluntad de Dios (y de los hombres)","https://www.latercera.com/culto/2025/02/01/llega-el-soberbio-thriller-papal-conclave-que-se-haga-la-voluntad-de-dios-y-de-los-hombres/"
"10","Don Tinto","Crítica gastronómica de Don Tinto: Handi Masala, gusta y pica","https://www.latercera.com/la-tercera-sabado/noticia/critica-gastronomica-de-don-tinto-handi-masala-gusta-y-pica/F6QT5ZLN4VBXNMTVBAIFQKI5SY/"
"11","Incendios","Columna de Iván Poduje: La reconstrucción desastrosa","https://www.latercera.com/opinion/noticia/columna-de-ivan-poduje-la-reconstruccion-desastrosa/ZNNF6AHU2ZCJZOOPZQCKOWBVPU/"
"12","Febrero","Encuesta Descifra: Chilenos buscan desconexión y pagan sus vacaciones con ahorros","https://www.latercera.com/la-tercera-sabado/noticia/encuesta-descifra-chilenos-buscan-desconexion-y-pagan-sus-vacaciones-con-ahorros/KYANXA75VZCXZG53QO2FLZRA7M/"
"13","LT Sábado","“Es un orgullo enorme”: Nicolás Massú hace historia como capitán de Copa Davis","https://www.latercera.com/el-deportivo/noticia/es-un-orgullo-enorme-nicolas-massu-hace-historia-como-capitan-de-copa-davis/SOJ4BKDEARAWJP5RPFYEVUB6E4/"
"14","Emilia Pérez","Columna de Rodrigo González: Emilia Pérez: Jacques Odiar","https://www.latercera.com/culto/2025/02/01/columna-de-rodrigo-gonzalez-emilia-perez-jacques-odiar/"
"15","Música","Crítica de discos: los estimulantes mundos de Ela Minus, Mogwai y Sault","https://www.latercera.com/culto/2025/02/01/critica-de-discos-los-estimulantes-mundos-de-ela-minus-mogwai-y-sault/"
