"","seccion","titular","enlace_noticia"
"1","Venezuela","Maduro dice que gestiona deportación de opositor Juan Guaidó desde EE.UU.: lo acusan de desfalcar en US$ 19.000 millones al Estado venezolano","https://www.latercera.com/mundo/noticia/maduro-dice-que-gestiona-deportacion-de-opositor-juan-guaido-desde-eeuu-lo-acusan-de-desfalcar-en-us-19000-millones-al-estado-venezolano/H2NCVPMOGFC6NFA2JAWT3EILTI/"
"2","EE.UU.","Rubio advierte que China podría cerrar el Canal de Panamá ante cualquier conflicto con EE.UU.","https://www.latercera.com/mundo/noticia/rubio-advierte-que-china-podria-cerrar-el-canal-de-panama-ante-cualquier-conflicto-con-eeuu/HADRPBZHEVHRPEPUWG6ATKJOMM/"
"3","Fútbol","Juan Carlos Peralta es dado de alta luego de estar hospitalizado por un ACV","https://www.latercera.com/el-deportivo/noticia/juan-carlos-peralta-es-dado-de-alta-luego-de-estar-hospitalizado-por-un-acv/FSE2SWQWDJEBPH6IC7P4PO6KMQ/"
"4","Fútbol","La dura autocrítica de Jorge Almirón tres el empate ante Limache por la Copa Chile","https://www.latercera.com/el-deportivo/noticia/la-dura-autocritica-de-jorge-almiron-tres-el-empate-ante-limache-por-la-copa-chile/GWF544RWGJHNDLTSHIF5IXZV4Y/"
"5","Fútbol","Un batallador Deportes Limache sorprende al súper Colo Colo de Almirón y rescata un empate meritorio en el Monumental","https://www.latercera.com/el-deportivo/noticia/los-refuerzos-no-bastaron-el-super-colo-colo-de-almiron-no-sale-del-empate-ante-el-batallador-limache/DIWPBKXQPBFSLNRQBDORTPH7TI/"
"6","American Airlines","2 claves del choque sin sobrevivientes entre un avión comercial y un helicóptero militar en Washington D.C.","https://www.latercera.com/tendencias/noticia/2-claves-del-choque-sin-sobrevivientes-entre-un-avion-comercial-y-un-helicoptero-militar-en-washington-dc/5BHTURPQIFEUHGKCU7DQIT5PAI/"
"7","Estados Unidos","Confirman muerte de niño de nacionalidad chilena en accidente aéreo en Washington D.C.","https://www.latercera.com/nacional/noticia/confirman-muerte-de-nino-de-nacionalidad-chilena-en-accidente-aereo-en-washington-dc/RAXV6FTJWRBMNFMEKEXYLEGZGY/"
"8","EE.UU.","Trump buscará acuerdo con Bukele para encerrar a miembros del Tren de Aragua en cárceles de El Salvador","https://www.latercera.com/mundo/noticia/trump-buscara-acuerdo-con-bukele-para-encerrar-a-miembros-del-tren-de-aragua-en-carceles-de-el-salvador/AGUC57ZOSJHG3KZFTDAMMZNAD4/"
"9","Incendio forestal","Incendio forestal destruye dos galpones y dos viviendas en La Pintana","https://www.latercera.com/nacional/noticia/incendio-forestal-destruye-dos-galpones-y-dos-viviendas-en-la-pintana/IE6SMTRHWBGPRIF3DCK4FB72VI/"
"10","Smartphones","Probamos el nuevo Redmi Note 14 Pro 5G, con batería gigantesca y precio accesible","https://www.latercera.com/tendencias/noticia/probamos-el-nuevo-redmi-note-14-pro-5g-con-bateria-gigantesca-y-precio-accesible/M2C6HO2JEVD33FJGZVSSJC4OHY/"
"11","Correos de los Lectores","Pistolas TaserExclusivo suscriptor","https://www.latercera.com/opinion/noticia/pistolas-taser/BVACGCHUBVAQVEMLLD5WT34LHI/"
"12","Correos de los Lectores","Estatua del Presidente PiñeraExclusivo suscriptor","https://www.latercera.com/opinion/noticia/estatua-del-presidente-pinera/ZHUH7E4VHZG5BIMFNWYCZ7YLPE/"
"13","Correos de los Lectores","Inversión efectiva: buenos resultados en lectoescrituraExclusivo suscriptor","https://www.latercera.com/opinion/noticia/inversion-efectiva-buenos-resultados-en-lectoescritura/FRJKVGGMEBAIHFGV2R2WCXX3NA/"
"14","Correos de los Lectores","Turismo y seguridadExclusivo suscriptor","https://www.latercera.com/opinion/noticia/turismo-y-seguridad/WDIXZ5ARHVHCBA5FXCPT44RIEM/"
"15","Correos de los Lectores","Incendios hoy e inundaciones mañanaExclusivo suscriptor","https://www.latercera.com/opinion/noticia/incendios-hoy-e-inundaciones-manana/HNCLJSDBLRHMDNHBM3FVWYTK24/"
